4.95	0
200	0
39.99	5.99
89	5.99
4.24	0.89
75	
89.99	5.89
96.28	0
16.99	1.49
200	4.99
79.99	5.5
18.99	1.99
79.99	4.95
33.74	6
3.99	1.89
249.99	0
119.99	0
249.99	6.75
149.99	0
409.99	
17.99	
3.99	
10	
149.99	6.25
184.99	
29.99	4.99
155	5.99
39.95	0
450	4
3	0
12	0
245	9
11.5	
11	
599.99	5.99
48	5
12	
10	0.78
499	
2.5	
1.99	0
19.99	
18.99	
18	
499	
85	
11.99	
10.99	1.5
44.99	5.99
190	
1500	0
139.99	0
249.99	0
149	0
190	
69.99	
69.99	
239.96	5.95
10	
75	0
69.99	
300	
19.99	
240	6
199	8.99
3999	8.99
8.99	
15.99	0
499.95	
65	
60	
220	
110	
28.99	
45	
99.99	
1399.99	7.49
39.99	
32.95	
16	
23.99	5.99
23.99	5.99
119.99	7.99
120	
349.99	0
27.99	6.75
450	
85	5.5
50	5.17
4	
7.99	1.5
160	
10	
2399.99	0
6.99	
1799.99	0
200	
99.99	
9.99	0.85
6.99	
10	
244.99	
22.49	
97.99	
18.99	
6.99	
1.99	0
2.95	0
29.5	4.95
6.79	0
99.67	
29.99	5.99
125	6.49
35	
20	
189.95	0
90	
485	5
7.99	
1449.99	19.95
4271.37	17.8
1499.99	24.99
144	
100	
355.94	12.81
45	5.17
1449.18	29.99
500	20
100	0
160.18	14.24
5	
25	5.5
2.25	
1250	0
799.99	0
580	4.99
650	11.99
999.97	8
175	
2.79	
9.49	1.49
1.36	0.99
525	
44.5	
5	
99.99	
95	
19	
7	
185	
68.99	
600	
1799.95	0.99
18.99	
14.95	0.85
9	
24.99	14.99
6.97	
3500	
7.97	
395	4.99
7.11	7.57
856.1	4.99
4.56	4.99
5.43	4.99
4.05	4.99
5.02	4.99
24.92	10.68
4.83	4.99
6	4.99
10	1.5
1138.32	14.23
3.75	
10	
1000	5.99
9.97	5.66
6.71	
6.99	1.36
65.99	8.5
495	4.99
287.2	4.99
637.2	4.99
6.29	4.99
6.58	4.99
5.43	4.99
569.51	14.23
14.23	4.26
11.35	4.26
14.2	4.26
7.99	
300	5
35.59	14.23
17.79	9.25
5.99	0.89
4.99	0
1.61	1.32
17	
17	
39.99	
21.36	11.38
168	9.99
199.99	
3.49	1.49
79.99	0
4.99	1.99
1295	
5.99	
10.68	
26	1.75
45	
20	
32.49	5.95
35.56	8.9
399.99	9.99
40	
203.03	4.99
300	
2175	4.99
342.2	4.99
2.99	1.99
277.64	19.93
31.3	4.99
191.5	4.99
128.13	7.12
40	
53.39	14.23
39.99	6
24.99	
1150	6.99
250	
240	0
9.25	
20	
45	5.25
249.99	5.99
450	
53.39	
20	
105	
17	8
100	22
611.9	4.99
163.45	4.99
88.99	
42.71	
29	
1350	
199.99	
200	6
39.99	6
4.99	
9.99	
35.59	21.35
35	3.5
1.13	
3.99	0
1.61	1.32
190	
19.99	1.69
184.99	3
499.99	0
79.99	0
79.99	0
79.99	0
299.99	0
249.99	0
119.99	0
139.99	0
119.99	0
149.99	0
149.99	0
149.99	0
119.99	0
139.99	0
124.99	
549.99	7.99
299.99	
149.99	9.99
109.99	
224.99	
350	
119.99	
149.99	7
69.99	0
175	
125	6
74.99	
149.99	0
99.99	0
139.99	0
74.99	12
150	6
149.88	
150	6
119.99	
79.99	7
39.99	6
175	
125	6
99.99	6.5
79.99	7.99
215	
199.99	0
150	9.75
185	12.75
750	16.99
114.99	
124.99	9
149.99	0
88.88	0
175	11.75
85	6
500	10
100	
299	
550	6.3
85	9
514.99	
125	10
119.99	
51.99	4.99
297	10.95
179.99	4.99
129	0
64.99	0
19.99	4.99
184.99	3
69.99	0
80	8
299.99	
499.99	
32.99	4.99
149.99	
249.99	
224.99	8.5
149.99	
179.99	4.99
749.99	5.17
52.49	0
56.24	0
7395	0
9.99	1.99
9.99	1.99
119.95	6.5
1.39	0
3.79	
3.79	
3.79	
3.99	0
35	5.17
1	
2999.99	0
2.5	0
3300	0
4999.99	0
850	
7500	0
110.34	
4.25	
599.99	12
4.99	
2.99	
1.99	
2.99	0
51.99	0
2.5	
1.29	0.98
19.99	0
29.99	
39.99	
69.99	
950	9.99
1.58	0
2750	
25	
250	10
79.99	0
467.5	6
1.79	0
2	0
1	
3999.99	0
299.99	7
500	
749.99	10
4500	
65	
3599.99	0
9.94	0
3	1.07
14.88	
1.99	
249.99	5.99
1999	0
1.12	1.25
7.99	1.25
180	
2.98	0
250	
500	
39.99	0
60	0
1.78	0
6999.99	
499.95	9.95
300	
309.99	5.17
300	6
76.5	8
12.95	1.99
1.5	0
1.69	0
25	6.49
874.99	6
1.29	
75	5.99
999.95	9.99
1.49	0
6.45	0
5250	
5.99	0.78
38.99	
125	
63	7.5
2.29	0.99
19.99	1.99
4.99	0
1400	4.75
69999	0
800	
50.98	0
109.99	
849.99	0
3.63	
1.85	1.25
1	
19.99	1.99
1.99	1.36
1.39	0.74
1.88	0
99.95	5.95
1.25	
39.99	0
699.99	
40	
115	
1699.99	
5.5	0
20	
2.99	0
22.49	
179.99	0
15000	
29.99	0
97.49	0
135.22	6
100.78	6.17
29.66	5.5
159.99	5.5
265.66	6.17
2.78	1.07
2000.66	14.5
1.49	0
6.99	
448	
375	0
1.8	0
61.65	
19.5	
20	
129.99	5.99
700	15
1200	9.95
6.5	
