cand-s4-ebay-3def5de9cc4263fe2a	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	SIGNED BALL/signed_prospect_baseball	George Lombard Jr	signed_prospect_baseball	eBay	collectilblesnmore2552		v1|188582828136|0	https://www.ebay.com/itm/188582828136	LIVE	George Lombard Jr Signed Autographed 2024 Donruss Baseball Card
cand-s4-ebay-5fcdf4e5064d24d8b5	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	SIGNED BALL/signed_prospect_baseball	Jesus Made	signed_prospect_baseball	eBay	cardbeast_40		v1|306432174356|0	https://www.ebay.com/itm/306432174356	LIVE	JESUS MADE Brewers Signed Rawlings Baseball Ball ROMLB Autographed Auto
cand-s4-ebay-3b14b981171da505fb	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	SIGNED BALL/signed_prospect_baseball	Josue De Paula	signed_prospect_baseball	eBay	quickrip26		v1|388896995546|0	https://www.ebay.com/itm/388896995546	LIVE	Josue De Paula 2023 Bowman Platinum Auto signed autograph baseball card Dodgers
cand-s4-ebay-450c0e48a3a82a5b3f	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	SIGNED BALL/signed_prospect_baseball	Leo De Vries	signed_prospect_baseball	eBay	cardtrader_91		v1|377359423949|0	https://www.ebay.com/itm/377359423949	LIVE	LEO DE VRIES Auto Autographed Signed Major League Baseball OMLB  BECKETT CERT
cand-s4-ebay-85b3744e8ad1386479	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	WNBA/autograph_memorabilia	Caitlin Clark	professional_wnba_rookie_autograph_memorabilia	eBay	geezee_sports_cards		v1|187474527621|0	https://www.ebay.com/itm/187474527621	LIVE	2024 Select WNBA Caitlin Clark RC AUTO-PATCH Purple Prizm /99
cand-s4-ebay-928ab4a956f9292716	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	WNBA/broad_professional_rookies	Caitlin Clark	professional_wnba_rookie_card	eBay	creativeimages68		v1|127981624206|0	https://www.ebay.com/itm/127981624206	LIVE	Caitlin Clark Rookie WNBA 4x6 Indiana Fever 45 points 10 assists 7/17/26
cand-s4-ebay-c850a1ff709ffcfe0e	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	WNBA/autograph_memorabilia	Dominique Malonga	professional_wnba_rookie_autograph_memorabilia	eBay	awenterprises23		v1|366476586649|0	https://www.ebay.com/itm/366476586649	LIVE	DOMINIQUE MALONGA 2025 Panini Select WNBA ROOKIE PATCH AUTO SILVER SP Storm🔥🔥
cand-s4-ebay-a7975d63f9133adf8e	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	WNBA/broad_professional_rookies	Dominique Malonga	professional_wnba_rookie_card	eBay	socal310cardz		v1|358843787541|0	https://www.ebay.com/itm/358843787541	LIVE	Panini 2025 Prizm WNBA Dominique Malonga Seattle Storm Rookie #144 Card
cand-s4-ebay-9b2d5dc05910418c6e	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	WNBA/autograph_memorabilia	Kiki Iriafen	professional_wnba_rookie_autograph_memorabilia	eBay	burks4263		v1|336624374416|0	https://www.ebay.com/itm/336624374416	LIVE	2025 PANINI WNBA ONE AND ONE ROOKIE PATCH AUTOGRAPH SP KIKI IRIAFEN 81/99
cand-s4-ebay-07ada3ad32caa563a8	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	WNBA/broad_professional_rookies	Kiki Iriafen	professional_wnba_rookie_card	eBay	bjbsportscards		v1|198136694577|0	https://www.ebay.com/itm/198136694577	LIVE	2025 WNBA Prizm Kiki Iriafen Groovy Rookie Insert #15 Washington Mystics
cand-s4-ebay-89d32977dbd956973b	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	WNBA/autograph_memorabilia	Paige Bueckers	professional_wnba_rookie_autograph_memorabilia	eBay	lmum7040		v1|366554896100|0	https://www.ebay.com/itm/366554896100	LIVE	Paige Bueckers RPA 2025 Panini Select WNBA RC Auto Blue /49 Wings Rookie Patch
cand-s4-ebay-944f4b9659e8cebcf5	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	WNBA/broad_professional_rookies	Paige Bueckers	professional_wnba_rookie_card	eBay	stekalino24		v1|127986061943|0	https://www.ebay.com/itm/127986061943	LIVE	Paige Bueckers 2025 Prizm WNBA Fractal Insert Base Card #13 Dallas Wings
cand-s4-ebay-c3b6e71b1ee508052a	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	WNBA/autograph_memorabilia	Sonia Citron	professional_wnba_rookie_autograph_memorabilia	eBay	harveyiscool		v1|236958697224|0	https://www.ebay.com/itm/236958697224	LIVE	Sonia Citron 2025 Panini WNBA Crown Royale Silhouette RPA RC Patch Auto 01/99!
cand-s4-ebay-c23235d0667ca57b4c	dh-20260730T170046Z-7d4c2a91	4	2026-07-30T17:05:44.524826+00:00	WNBA/broad_professional_rookies	Sonia Citron	professional_wnba_rookie_card	eBay	lets_make_stickers		v1|127998405633|0	https://www.ebay.com/itm/127998405633	LIVE	2025 Panini WNBA Prizm Fearless 15 Sonia Citron Washington Mystics Rookie Card
